vote_number,member_full,numerical_vote,
145,Alexander (R-TN),2,
145,Ayotte (R-NH),1,
145,Baldwin (D-WI),2,
145,Barrasso (R-WY),1,
145,Baucus (D-MT),2,
145,Begich (D-AK),0,
145,Bennet (D-CO),2,
145,Blumenthal (D-CT),2,
145,Blunt (R-MO),2,
145,Boozman (R-AR),2,
145,Boxer (D-CA),2,
145,Brown (D-OH),2,
145,Burr (R-NC),2,
145,Cantwell (D-WA),2,
145,Cardin (D-MD),2,
145,Carper (D-DE),2,
145,Casey (D-PA),2,
145,Chambliss (R-GA),2,
145,Chiesa (R-NJ),2,
145,Coats (R-IN),2,
145,Coburn (R-OK),1,
145,Cochran (R-MS),2,
145,Collins (R-ME),2,
145,Coons (D-DE),2,
145,Corker (R-TN),1,
145,Cornyn (R-TX),1,
145,Cowan (D-MA),2,
145,Crapo (R-ID),1,
145,Cruz (R-TX),1,
145,Donnelly (D-IN),2,
145,Durbin (D-IL),2,
145,Enzi (R-WY),1,
145,Feinstein (D-CA),2,
145,Fischer (R-NE),2,
145,Flake (R-AZ),1,
145,Franken (D-MN),2,
145,Gillibrand (D-NY),2,
145,Graham (R-SC),2,
145,Grassley (R-IA),2,
145,Hagan (D-NC),2,
145,Harkin (D-IA),2,
145,Hatch (R-UT),1,
145,Heinrich (D-NM),2,
145,Heitkamp (D-ND),2,
145,Heller (R-NV),1,
145,Hirono (D-HI),2,
145,Hoeven (R-ND),2,
145,Inhofe (R-OK),1,
145,Isakson (R-GA),2,
145,Johanns (R-NE),2,
145,Johnson (D-SD),2,
145,Johnson (R-WI),1,
145,Kaine (D-VA),2,
145,King (I-ME),2,
145,Kirk (R-IL),1,
145,Klobuchar (D-MN),2,
145,Landrieu (D-LA),2,
145,Leahy (D-VT),2,
145,Lee (R-UT),1,
145,Levin (D-MI),2,
145,Manchin (D-WV),0,
145,McCain (R-AZ),0,
145,McCaskill (D-MO),2,
145,McConnell (R-KY),1,
145,Menendez (D-NJ),2,
145,Merkley (D-OR),2,
145,Mikulski (D-MD),2,
145,Moran (R-KS),2,
145,Murkowski (R-AK),0,
145,Murphy (D-CT),2,
145,Murray (D-WA),2,
145,Nelson (D-FL),2,
145,Paul (R-KY),0,
145,Portman (R-OH),1,
145,Pryor (D-AR),2,
145,Reed (D-RI),1,
145,Reid (D-NV),2,
145,Risch (R-ID),1,
145,Roberts (R-KS),1,
145,Rockefeller (D-WV),2,
145,Rubio (R-FL),1,
145,Sanders (I-VT),2,
145,Schatz (D-HI),2,
145,Schumer (D-NY),2,
145,Scott (R-SC),1,
145,Sessions (R-AL),1,
145,Shaheen (D-NH),2,
145,Shelby (R-AL),1,
145,Stabenow (D-MI),2,
145,Tester (D-MT),2,
145,Thune (R-SD),1,
145,Toomey (R-PA),1,
145,Udall (D-CO),0,
145,Udall (D-NM),2,
145,Vitter (R-LA),2,
145,Warner (D-VA),0,
145,Warren (D-MA),2,
145,Whitehouse (D-RI),1,
145,Wicker (R-MS),2,
145,Wyden (D-OR),2,
232,Alexander (R-TN),1,
232,Ayotte (R-NH),2,
232,Baldwin (D-WI),2,
232,Barrasso (R-WY),0,
232,Baucus (D-MT),2,
232,Begich (D-AK),2,
232,Bennet (D-CO),2,
232,Blumenthal (D-CT),2,
232,Blunt (R-MO),1,
232,Booker (D-NJ),2,
232,Boozman (R-AR),1,
232,Boxer (D-CA),2,
232,Brown (D-OH),2,
232,Burr (R-NC),1,
232,Cantwell (D-WA),2,
232,Cardin (D-MD),2,
232,Carper (D-DE),2,
232,Casey (D-PA),0,
232,Chambliss (R-GA),1,
232,Coats (R-IN),1,
232,Coburn (R-OK),0,
232,Cochran (R-MS),1,
232,Collins (R-ME),2,
232,Coons (D-DE),2,
232,Corker (R-TN),1,
232,Cornyn (R-TX),1,
232,Crapo (R-ID),1,
232,Cruz (R-TX),1,
232,Donnelly (D-IN),2,
232,Durbin (D-IL),2,
232,Enzi (R-WY),1,
232,Feinstein (D-CA),2,
232,Fischer (R-NE),1,
232,Flake (R-AZ),2,
232,Franken (D-MN),2,
232,Gillibrand (D-NY),2,
232,Graham (R-SC),1,
232,Grassley (R-IA),1,
232,Hagan (D-NC),2,
232,Harkin (D-IA),2,
232,Hatch (R-UT),2,
232,Heinrich (D-NM),2,
232,Heitkamp (D-ND),2,
232,Heller (R-NV),2,
232,Hirono (D-HI),2,
232,Hoeven (R-ND),1,
232,Inhofe (R-OK),1,
232,Isakson (R-GA),1,
232,Johanns (R-NE),1,
232,Johnson (D-SD),2,
232,Johnson (R-WI),1,
232,Kaine (D-VA),2,
232,King (I-ME),2,
232,Kirk (R-IL),2,
232,Klobuchar (D-MN),2,
232,Landrieu (D-LA),2,
232,Leahy (D-VT),2,
232,Lee (R-UT),1,
232,Levin (D-MI),2,
232,Manchin (D-WV),2,
232,Markey (D-MA),2,
232,McCain (R-AZ),2,
232,McCaskill (D-MO),2,
232,McConnell (R-KY),1,
232,Menendez (D-NJ),2,
232,Merkley (D-OR),2,
232,Mikulski (D-MD),2,
232,Moran (R-KS),1,
232,Murkowski (R-AK),2,
232,Murphy (D-CT),2,
232,Murray (D-WA),2,
