session,vote_number,vote_question_text,member_full,vote_cast,vote_id,numerical_vote
1,145,On Passage of the Bill S. 954,Alexander (R-TN),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Ayotte (R-NH),Nay,1:145,1
1,145,On Passage of the Bill S. 954,Baldwin (D-WI),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Barrasso (R-WY),Nay,1:145,1
1,145,On Passage of the Bill S. 954,Baucus (D-MT),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Begich (D-AK),Not Voting,1:145,0
1,145,On Passage of the Bill S. 954,Bennet (D-CO),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Blumenthal (D-CT),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Blunt (R-MO),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Boozman (R-AR),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Boxer (D-CA),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Brown (D-OH),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Burr (R-NC),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Cantwell (D-WA),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Cardin (D-MD),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Carper (D-DE),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Casey (D-PA),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Chambliss (R-GA),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Chiesa (R-NJ),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Coats (R-IN),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Coburn (R-OK),Nay,1:145,1
1,145,On Passage of the Bill S. 954,Cochran (R-MS),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Collins (R-ME),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Coons (D-DE),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Corker (R-TN),Nay,1:145,1
1,145,On Passage of the Bill S. 954,Cornyn (R-TX),Nay,1:145,1
1,145,On Passage of the Bill S. 954,Cowan (D-MA),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Crapo (R-ID),Nay,1:145,1
1,145,On Passage of the Bill S. 954,Cruz (R-TX),Nay,1:145,1
1,145,On Passage of the Bill S. 954,Donnelly (D-IN),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Durbin (D-IL),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Enzi (R-WY),Nay,1:145,1
1,145,On Passage of the Bill S. 954,Feinstein (D-CA),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Fischer (R-NE),Yea,1:145,2
1,145,On Passage of the Bill S. 954,Flake (R-AZ),Nay,1:145,1
