congress,congress_year,majority_requirement,modify_date,question,session,vote_date,vote_document_text,vote_number,vote_question_text,vote_result,vote_result_text,vote_title,absent,amendment_number,amendment_purpose,amendment_to_amendment_number,amendment_to_document_number,amendment_to_document_short_title,by_whom,document_congress,document_name,document_number,document_short_title,document_title,document_type,nays,present,tie_breaker_vote,yeas,first_name,last_name,lis_member_id,member_full,party,state,vote_cast
109,2005,1/2,-,On the Objection,1,January 6  2005   03:18 PM,-,1,On the Objection (Shall Objection Submitted Be Sustained Re: Electoral Ballot Count),Objection Not Sustained,Objection Not Sustained (1-74),Shall Objection Submitted Be Sustained Re: Electoral Ballot Count,25,-,-,-,-,-,-,-,-,-,-,-,-,74,-,-,1,Ron,Wyden,S247,Wyden (D-OR),D,OR,Nay
109,2005,1/2,January 8  2010   11:55 AM,On the Nomination,1,January 26  2005   11:40 AM,Condoleezza Rice  of California  to be Secretary of State,2,On the Nomination PN8,Nomination Confirmed,Nomination Confirmed (85-13),Confirmation Condoleeza Rice  of California  to be Secretary of State,2,-,No Statement of Purpose on File.,-,-,-,-,109,PN8,8,-,Condoleezza Rice  of California  to be Secretary of State,PN,13,-,-,85,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   11:55 AM,On the Nomination,1,February 3  2005   04:29 PM,Alberto R. Gonzales  of Texas  to be Attorney General,3,On the Nomination PN12,Nomination Confirmed,Nomination Confirmed (60-36),Confirmation Alberto R. Gonzales to be Attorney General,4,-,No Statement of Purpose on File.,-,-,-,-,109,PN12,12,-,Alberto R. Gonzales  of Texas  to be Attorney General,PN,36,-,-,60,Ron,Wyden,S247,Wyden (D-OR),D,OR,Nay
109,2005,1/2,-,On the Resolution,1,February 7  2005   05:30 PM,A resolution commending the people of Iraq on the January 30  2005  national elections.,4,On the Resolution S.Res. 38,Resolution Agreed to,Resolution Agreed to (93-0),S. Res. 38,7,-,No Statement of Purpose on File.,-,-,-,-,-,S.Res. 38,38,-,A resolution commending the people of Iraq on the January 30  2005  national elections.,S.Res.,0,-,-,93,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:42 AM,On the Motion to Table,1,February 9  2005   12:15 PM,To exempt class action lawsuits brought by the attorney general of any State from the modified civil procedures required by this Act.,5,On the Motion to Table S.Amdt. 5 to S. 5 (Class Action Fairness Act of 2005),Motion to Table Agreed to,Motion to Table Agreed to (60-39),Motion to Table Pryor Amdt. No. 5,1,S.Amdt. 5,To exempt class action lawsuits brought by the attorney general of any State from the modified civil procedures required by this Act.,-,S. 5,Class Action Fairness Act of 2005,-,109,-,-,-,-,-,39,-,-,60,Ron,Wyden,S247,Wyden (D-OR),D,OR,Nay
109,2005,1/2,January 8  2010   08:44 AM,On the Amendment,1,February 9  2005   04:01 PM,To amend the definition of class action in title 28  United States Code  to exclude class actions relating to civil rights or the payment of wages.,6,On the Amendment S.Amdt. 2 to S. 5 (Class Action Fairness Act of 2005),Amendment Rejected,Amendment Rejected (40-59),Kennedy Amdt. No. 2,1,S.Amdt. 2,To amend the definition of class action in title 28  United States Code  to exclude class actions relating to civil rights or the payment of wages.,-,S. 5,Class Action Fairness Act of 2005,-,109,-,-,-,-,-,59,-,-,40,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:47 AM,On the Amendment,1,February 9  2005   04:33 PM,To clarify the application of State law in certain class actions  and for other purposes.,7,On the Amendment S.Amdt. 4 to S. 5 (Class Action Fairness Act of 2005),Amendment Rejected,Amendment Rejected (38-61),Feinstein Amdt. No. 4,1,S.Amdt. 4,To clarify the application of State law in certain class actions  and for other purposes.,-,S. 5,Class Action Fairness Act of 2005,-,109,-,-,-,-,-,61,-,-,38,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,-,On the Amendment,1,February 10  2005   12:45 PM,To establish time limits for action by Federal district courts on motions to remand cases that have been removed to Federal court.,8,On the Amendment S.Amdt. 12 to S. 5 (Class Action Fairness Act of 2005),Amendment Rejected,Amendment Rejected (37-61),Feingold Amdt. No. 12,2,S.Amdt. 12,To establish time limits for action by Federal district courts on motions to remand cases that have been removed to Federal court.,-,S. 5,Class Action Fairness Act of 2005,-,-,-,-,-,-,-,61,-,-,37,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:44 AM,On Passage of the Bill,1,February 10  2005   03:03 PM,A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants  and for other purposes.,9,On Passage of the Bill S. 5,Bill Passed,Bill Passed (72-26),S. 5,2,-,No Statement of Purpose on File.,-,-,-,-,109,S. 5,5,Class Action Fairness Act of 2005,A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants  and for other purposes.,S.,26,-,-,72,Ron,Wyden,S247,Wyden (D-OR),D,OR,Nay
109,2005,1/2,January 8  2010   11:55 AM,On the Nomination,1,February 15  2005   04:00 PM,Michael Chertoff  of New Jersey  to be Secretary of Homeland Security,10,On the Nomination PN122,Nomination Confirmed,Nomination Confirmed (98-0),Confirmation Michael Chertoff  of New Jersey  To Be Secretary of Homeland Security ,2,-,No Statement of Purpose on File.,-,-,-,-,109,PN122,122,-,Michael Chertoff  of New Jersey  to be Secretary of Homeland Security,PN,0,-,-,98,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,-,On Passage of the Bill,1,February 17  2005   03:00 PM,A bill to prohibit discrimination on the basis of genetic information with respect to health insurance and employment.,11,On Passage of the Bill S. 306,Bill Passed,Bill Passed (98-0),S. 306 As Amended,2,-,No Statement of Purpose on File.,-,-,-,-,-,S. 306,306,Genetic Information Nondiscrimination Act of 2005,A bill to prohibit discrimination on the basis of genetic information with respect to health insurance and employment.,S.,0,-,-,98,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:53 AM,On the Amendment,1,March 1  2005   05:27 PM,To clarify the safe harbor with respect to debtors who have serious medical conditions or who have been called or ordered to active duty in the Armed Forces and low income veterans.,12,On the Amendment S.Amdt. 23 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Agreed to,Amendment Agreed to (63-32),Sessions Amdt. No. 23,5,S.Amdt. 23,To clarify the safe harbor with respect to debtors who have serious medical conditions or who have been called or ordered to active duty in the Armed Forces and low income veterans.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,32,-,-,63,Ron,Wyden,S247,Wyden (D-OR),D,OR,Nay
109,2005,1/2,January 8  2010   08:54 AM,On the Amendment,1,March 1  2005   06:07 PM,To protect servicemembers and veterans from means testing in bankruptcy  to disallow certain claims by lenders charging usurious interest rates to servicemembers  and to allow servicemembers to exempt property based on the law of the State of their premilitary residence.,13,On the Amendment S.Amdt. 16 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Rejected,Amendment Rejected (38-58),Durbin Amdt. No. 16  As Modified.,4,S.Amdt. 16,To protect servicemembers and veterans from means testing in bankruptcy  to disallow certain claims by lenders charging usurious interest rates to servicemembers  and to allow servicemembers to exempt property based on the law of the State of their premilitary residence.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,58,-,-,38,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:49 AM,On the Amendment,1,March 2  2005   11:14 AM,To provide a homestead floor for the elderly.,14,On the Amendment S.Amdt. 17 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Rejected,Amendment Rejected (40-59),Feingold Amdt. No. 17.,1,S.Amdt. 17,To provide a homestead floor for the elderly.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,59,-,-,40,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:55 AM,On the Amendment,1,March 2  2005   11:48 AM,To require enhanced disclosure to consumers regarding the consequences of making only minimum required payments in the repayment of credit card debt  and for other purposes.,15,On the Amendment S.Amdt. 15 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Rejected,Amendment Rejected (40-59),Akaka Amdt. No. 15,1,S.Amdt. 15,To require enhanced disclosure to consumers regarding the consequences of making only minimum required payments in the repayment of credit card debt  and for other purposes.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,59,-,-,40,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:53 AM,On the Amendment,1,March 2  2005   04:56 PM,To exempt debtors whose financial problems were caused by serious medical problems from means testing.,16,On the Amendment S.Amdt. 28 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Rejected,Amendment Rejected (39-58),Kennedy Amdt. No. 28.,3,S.Amdt. 28,To exempt debtors whose financial problems were caused by serious medical problems from means testing.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,58,-,-,39,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:48 AM,On the Amendment,1,March 2  2005   05:31 PM,To provide protection for medical debt homeowners.,17,On the Amendment S.Amdt. 29 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Rejected,Amendment Rejected (39-58),Kennedy Amdt. No. 29,3,S.Amdt. 29,To provide protection for medical debt homeowners.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,58,-,-,39,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:47 AM,On the Amendment,1,March 2  2005   05:55 PM,To preserve existing bankruptcy protections for individuals experiencing economic distress as caregivers to ill or disabled family members.,18,On the Amendment S.Amdt. 32 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Rejected,Amendment Rejected (37-60),Corzine Amdt. No. 32,3,S.Amdt. 32,To preserve existing bankruptcy protections for individuals experiencing economic distress as caregivers to ill or disabled family members.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,60,-,-,37,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:45 AM,On the Joint Resolution,1,March 3  2005   12:51 PM,A joint resolution providing for congressional disapproval of the rule submitted by the Department of Agriculture under chapter 8 of title 5  United States Code  relating to risk zones for introduction of bovine spongiform encephalopathy.,19,On the Joint Resolution S.J.Res. 4,Joint Resolution Passed,Joint Resolution Passed (52-46),S.J.Res. 4,2,-,No Statement of Purpose on File.,-,-,-,-,109,S.J.Res. 4,4,-,A joint resolution providing for congressional disapproval of the rule submitted by the Department of Agriculture under chapter 8 of title 5  United States Code  relating to risk zones for introduction of bovine spongiform encephalopathy.,S.J.Res.,46,-,-,52,Ron,Wyden,S247,Wyden (D-OR),D,OR,Yea
109,2005,1/2,January 8  2010   08:52 AM,On the Amendment,1,March 3  2005   02:05 PM,To limit the amount of interest that can be charged on any extension of credit to 30 percent.,20,On the Amendment S.Amdt. 31 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Rejected,Amendment Rejected (24-74),Dayton Amdt. No. 31.,2,S.Amdt. 31,To limit the amount of interest that can be charged on any extension of credit to 30 percent.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,74,-,-,24,Ron,Wyden,S247,Wyden (D-OR),D,OR,Nay
109,2005,1/2,January 8  2010   08:50 AM,On the Amendment,1,March 3  2005   02:37 PM,To exempt debtors from means testing if their financial problems were caused by identity theft.,21,On the Amendment S.Amdt. 37 to S. 256 (Bankruptcy Abuse Prevention and Consumer Protection Act of 2005),Amendment Rejected,Amendment Rejected (37-61),Nelson (FL) Amdt. No. 37,2,S.Amdt. 37,To exempt debtors from means testing if their financial problems were caused by identity theft.,-,S. 256,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,-,109,-,-,-,-,-,61,-,-,37,Ron,Wyden,S247,Wyden (D-OR),D,OR,Nay
